0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
-1.1377,-0.78326,-0.72821,-1.3081,0.71241,-1.1546,-1.2172,1.7492,0.60935,-1.377,-1.3078,-0.69744,-1.0669,1.8666,-1.0354,1
-0.93703,-0.16375,0.32545,-1.1601,0.13397,-0.93057,-1.1139,1.2292,0.52222,-0.87295,-1.1598,-0.25845,-1.0414,2.0189,-0.95348,1
-0.87882,-1.0317,-0.74039,-1.003,0.57247,-0.78881,-0.94716,1.7639,0.96157,-0.58891,-1.0028,-0.074423,-0.66255,1.3166,-0.8335,1
-0.81328,-0.47618,-0.01379,-0.92353,0.80455,-0.81035,-0.90316,1.711,0.72966,-0.6923,-0.92341,-0.61861,-0.78337,0.94421,-0.80556,1
-0.4933,-0.63534,0.29655,-0.31032,-0.30882,-0.2244,-0.43386,-0.59472,0.84042,0.29545,-0.30986,-0.34741,-0.35576,0.48155,-0.51734,1
-0.71986,-0.90464,-0.61509,-0.59871,0.55652,-0.66984,-0.70186,0.38917,0.61354,-0.36409,-0.59847,-0.097976,-0.67826,0.34806,-0.70603,1
-0.5377,-0.34664,0.42593,-0.1648,-0.64158,-0.62809,-0.36744,-0.33078,-0.29551,0.0031662,-0.16467,-0.074547,-0.68247,-0.77982,-0.60136,1
-0.78952,-1.0232,-0.459,-0.81782,0.65853,-0.56408,-0.86727,0.97226,0.80244,-0.72772,-0.81744,-0.51654,-0.30618,1.639,-0.73386,1
-0.23659,-0.83813,0.37833,0.43745,-0.24479,0.15341,-0.07013,-0.079772,0.05043,0.60631,0.43767,0.88958,0.39848,0.12437,0.021508,1
-0.62867,-0.15903,0.59751,-0.62716,0.35897,-0.62691,-0.68781,-0.37638,1.1751,-0.42992,-0.62682,0.32714,-0.75685,0.41828,-0.68829,1
-0.77826,-0.63532,-0.93634,-0.73219,0.29514,-0.69449,-0.84574,1.2689,0.93032,-0.68817,-0.73185,-0.61014,-0.62437,1.0259,-0.74851,1
-0.74069,-0.35927,-0.26726,-0.70339,1.3332,-0.64133,-0.76543,0.089039,1.1086,-0.66716,-0.70474,0.15149,-0.56869,0.75942,-0.75567,1
-0.82356,-0.79889,0.70453,-0.69088,0.4316,-0.7828,-0.74212,-0.27511,0.43314,-0.57286,-0.6907,1.0839,-0.81613,0.17062,-0.78737,1
-0.46779,-1.3792,-0.50113,0.088013,0.25216,-0.40433,-0.19034,-0.01338,0.39949,1.0378,0.087438,0.59186,-0.51943,-0.74695,-0.38773,1
-0.97458,-1.2112,-1.8591,-0.98702,0.6838,-0.94008,-0.98356,1.8335,0.74938,-0.83495,-0.98814,-0.69011,-0.80411,0.94823,-0.8947,1
-0.27923,-0.66171,-0.0054079,0.31171,0.65806,0.091261,-0.076121,-0.34177,-0.88404,0.53123,0.31141,0.66122,0.11183,0.011243,-0.10772,1
-0.74094,-0.95539,-0.72416,-0.81605,1.2023,-0.63613,-0.77156,1.4331,0.99723,-0.72199,-0.8167,-0.060818,-0.56426,0.80979,-0.73423,1
-0.79868,-1.2434,-1.5192,-0.67395,0.8349,-0.40791,-0.7411,0.73119,0.080484,-0.55442,-0.67355,-0.00031946,-0.3811,1.4031,-0.74979,1
-0.53571,-1.1271,-0.85114,-0.52203,1.413,0.085793,-0.52276,1.5073,0.4728,-0.65812,-0.5216,-0.47686,0.37013,1.7175,-0.45949,1
-0.70588,-0.36276,0.25064,-0.81297,0.42918,-0.58531,-0.80595,0.44105,1.1508,-0.40238,-0.81263,-0.016381,-0.71674,1.1784,-0.75976,1
-0.32743,-0.35686,-0.23789,-0.097377,0.092141,0.010191,-0.31525,0.46289,0.50646,0.11059,-0.097095,0.4068,0.013415,0.61706,-0.32395,1
-0.43318,-0.99619,-1.0059,-0.41896,2.2308,0.20821,-0.44148,1.1072,-0.077901,-0.15093,-0.41858,0.13877,0.34175,1.6494,-0.33477,1
-0.54597,-1.278,-1.1821,-0.42286,1.0966,-0.14465,-0.45821,1.106,0.59414,-0.13219,-0.42241,0.013991,-0.04846,0.7912,-0.47399,1
-1.2682,-0.031972,0.045978,-1.4259,-0.12859,-1.6082,-1.3434,0.28323,-1.2508,-1.5302,-1.4257,-0.95181,-1.6382,0.38701,-1.1393,1
-1.0263,-0.84791,-0.55964,-0.99782,1.0804,-0.93321,-0.99632,1.0195,0.60981,-0.99485,-0.99748,-0.97538,-0.83374,1.0647,-0.93405,1
-0.66919,-0.63643,0.7072,-0.69038,0.88889,-0.48639,-0.72034,-0.44354,-0.13316,-0.28921,-0.69021,0.92521,-0.61381,1.0312,-0.67243,1
-0.81685,-1.0198,-0.53224,-0.87839,0.90579,-0.80034,-0.86483,1.1327,1.1033,-0.64997,-0.87808,-0.5238,-0.83461,0.75135,-0.79536,1
-0.86358,-0.11011,0.33381,-0.95224,0.49962,-0.89534,-0.94697,0.42041,0.59015,-0.8505,-0.95221,-0.11528,-0.83636,0.8891,-0.89249,1
-0.81107,-1.1174,-1.1169,-0.62492,0.76157,-0.78132,-0.72346,0.053287,0.62951,-0.30893,-0.62478,-0.011737,-0.9571,0.088953,-0.77685,1
-0.75013,-0.7951,-1.2222,-0.68464,1.0321,-0.43345,-0.7055,1.5147,0.27651,-0.82993,-0.68423,-0.093334,-0.24592,1.1224,-0.69993,1
-0.34599,-0.19987,-0.26439,-0.17842,0.37311,0.035834,-0.26413,1.0245,0.33969,0.11602,-0.178,-0.31912,0.082923,0.49232,-0.34156,1
-0.5656,-0.53094,-0.4235,-0.52475,-0.08587,-0.37987,-0.57584,1.3176,0.36182,0.13735,-0.52441,0.7603,-0.43274,0.65039,-0.57466,1
-0.56896,-0.35559,0.14499,-0.17694,0.29879,-0.44451,-0.35955,0.94063,1.0926,-0.15673,-0.17643,0.37075,-0.48368,-0.34569,-0.59408,1
-0.50625,-0.95375,-0.44892,-0.42067,0.52005,-0.118,-0.47031,0.89264,0.59496,0.092997,-0.42021,0.39571,-0.18873,0.91416,-0.47394,1
-0.94272,-0.84675,-0.87621,-1.0333,1.1698,-0.88865,-0.97134,1.1443,0.93331,-0.95084,-1.0333,-0.38911,-0.87441,1.0777,-0.91404,1
-0.98579,-1.1903,-1.5722,-1.0912,1.0708,-0.94629,-1.0454,1.3105,1.3546,-1.0616,-1.0909,-0.68371,-0.90227,1.3686,-0.9239,1
-0.71512,-0.74215,-0.29014,-0.68469,0.82623,-0.37769,-0.73198,1.1122,1.5036,-0.82346,-0.68428,0.46547,-0.20582,1.45,-0.70211,1
-0.64008,-1.1216,-1.1293,-0.21628,0.30542,-0.44752,-0.42424,0.070679,-0.89847,-0.12753,-0.21578,1.2071,-0.49358,-0.13609,-0.59814,1
-1.199,-1.285,-1.0519,-1.4351,1.4525,-1.3056,-1.3109,1.6091,0.24407,-1.5446,-1.4356,-0.715,-1.1087,2.0174,-1.0682,1
-0.66664,-0.32529,-0.53849,-0.64813,0.63918,-0.40822,-0.60059,0.88237,0.11293,-0.5828,-0.64847,-0.18228,-0.2979,0.67991,-0.68314,1
-1.0617,-1.2975,-2.2072,-1.1066,1.832,-1.1463,-1.0814,1.3477,1.4287,-1.1424,-1.1064,-0.99747,-1.2063,0.7293,-0.98462,1
-0.73479,-0.19127,0.2702,-0.8018,-0.044262,-0.64554,-0.74736,0.39916,0.53437,-0.46204,-0.80155,1.2723,-0.77505,0.65087,-0.77995,1
-0.3588,-0.84314,-0.93403,-0.027277,1.1605,0.03207,-0.2488,0.80998,-0.65902,0.077089,-0.026736,0.74519,0.21226,0.42978,-0.26691,1
-0.90306,-0.69436,0.52909,-0.81633,1.366,-0.92036,-0.83235,-0.21721,-0.0017979,-0.85813,-0.81714,0.54056,-1.021,0.13881,-0.87886,1
-0.64555,-0.71563,-1.3217,-0.65527,0.84418,-0.07214,-0.6338,1.6726,0.53369,-0.64278,-0.65498,-0.43877,0.2517,1.8527,-0.58947,1
-0.31759,-0.69931,0.56949,0.10628,0.13603,0.25962,-0.20019,0.2387,0.11435,0.56877,0.10611,1.2494,0.45633,0.78003,-0.14489,1
-1.1108,-0.72063,-0.36644,-1.2588,0.3932,-1.2489,-1.2169,0.72214,0.29596,-1.0635,-1.2597,-0.49999,-1.2855,1.3403,-1.0255,1
-0.72969,-1.4098,-0.634,-0.80104,1.2411,-0.31684,-0.79423,1.6951,1.2717,-0.51015,-0.80072,-0.45451,-0.10506,2.0381,-0.65801,1
-0.86736,-0.82554,0.45511,-0.81284,1.017,-0.73911,-0.85105,0.06309,0.63105,-0.75455,-0.81368,0.60664,-0.76266,0.89522,-0.84056,1
-0.55871,-0.014956,0.12525,-0.48243,0.88496,-0.48911,-0.48286,-0.017536,0.96739,-0.29342,-0.48208,-0.41996,-0.55238,-0.035012,-0.61712,1
-1.1287,-1.8112,-0.70328,-1.2864,1.4929,-1.2009,-1.2119,1.5202,1.5867,-1.3252,-1.2861,-0.70181,-1.2029,1.5565,-1.0265,1
0.40732,-0.082103,0.46999,1.1895,-0.43956,1.2753,0.77287,-0.084094,-1.0869,1.4529,1.19,0.56515,1.3835,0.023171,0.76945,1
-0.93242,-0.68303,-0.97195,-1.1409,1.5805,-0.97385,-1.0451,1.8405,1.2597,-0.97851,-1.1406,-0.70252,-1.0171,1.2433,-0.91944,1
-0.69773,-1.0447,-1.5174,-0.80639,1.321,-0.32368,-0.78992,2.341,0.86464,-0.81983,-0.80608,0.013135,0.063415,1.9862,-0.64668,1
-0.83684,-0.553,-0.68715,-0.83095,1.2738,-0.73313,-0.87373,0.84445,0.6459,-0.94669,-0.83296,-0.46117,-0.68833,1.0536,-0.80579,1
-0.91198,-0.57506,-0.26877,-1.0213,0.20384,-0.68306,-0.9743,1.7369,0.21829,-0.92138,-1.0211,-0.58132,-0.56205,1.9444,-0.8803,1
-0.75184,-1.1823,-0.073795,-0.72132,0.86816,-0.37911,-0.80139,0.49349,0.6135,-0.56143,-0.72096,-0.45221,-0.29702,1.869,-0.6863,1
-1.058,-0.79845,-0.47317,-1.1186,0.87364,-1.0298,-1.0696,1.3472,1.1971,-1.2684,-1.1186,-0.65552,-0.90403,1.1785,-0.99112,1
-0.89511,-0.91966,-0.60735,-1.0243,0.99527,-0.663,-0.9601,1.576,0.75103,-1.0282,-1.0242,-0.11145,-0.44896,1.9173,-0.83809,1
-0.74369,-1.2371,-0.40916,-0.94799,1.1808,-0.43443,-0.88393,1.3008,1.0713,-0.67393,-0.94886,-0.53172,-0.26503,2.239,-0.71362,1
0.34566,-1.222,0.077466,1.3898,-0.88691,1.5745,0.85599,0.18772,-1.8298,2.3142,1.3906,2.5588,1.5055,0.28037,0.85811,1
-0.58371,-0.87829,-1.3632,-0.59308,0.58751,0.20418,-0.56061,1.9978,0.42714,-0.53215,-0.59328,0.3248,0.43409,2.2538,-0.54737,1
-0.93283,-0.68433,-1.1206,-0.96061,1.5813,-1.0047,-0.96134,1.3484,0.69022,-0.96743,-0.96027,-0.56541,-1.0542,0.53914,-0.90135,1
-0.77835,-0.29527,-0.19245,-0.85877,0.25439,-0.70486,-0.86781,0.46241,0.66164,-0.51745,-0.85868,0.16015,-0.82967,1.1219,-0.81276,1
-0.57433,-0.76599,0.19652,-0.50533,1.1016,-0.12527,-0.62866,0.78745,0.12983,-0.19019,-0.50517,0.39657,-0.21152,1.6638,-0.50758,1
-0.65925,-0.19309,0.14908,-0.5048,0.31164,-0.61013,-0.5975,0.52837,0.49715,-0.45528,-0.50447,0.2781,-0.70579,0.071955,-0.69496,1
-0.70086,-1.0307,-0.2307,-0.73699,1.2536,-0.16477,-0.80311,1.9275,-0.059933,-0.81823,-0.73677,-0.024188,0.26979,2.6268,-0.58337,1
-1.041,-0.078198,0.10659,-1.0156,-0.17352,-1.2824,-1.0429,0.047343,-0.88569,-1.0528,-1.0157,-0.17219,-1.2688,-0.14332,-1.0089,1
-0.43019,-0.69246,0.54517,-0.31502,0.74914,-0.13813,-0.39601,0.41595,0.42924,0.064753,-0.31455,-0.096675,-0.21002,0.5562,-0.43749,1
-0.75678,-0.66372,-0.85956,-0.83529,0.51882,-0.64793,-0.80813,0.89444,0.61508,-0.51915,-0.83495,-0.36011,-0.61334,0.97209,-0.74836,1
-1.1574,-0.027264,0.23267,-1.1571,0.71349,-1.3302,-1.1352,0.40483,-1.4369,-1.3771,-1.1568,0.11081,-1.3242,0.23538,-1.0803,1
-0.91131,-1.0733,-1.0115,-0.84568,1.2553,-0.87894,-0.87124,0.36008,-0.29895,-0.78509,-0.8458,0.17221,-0.77695,0.49712,-0.8483,1
-0.73495,-0.80793,-0.50932,-0.75234,1.2541,-0.693,-0.75098,0.2202,1.1695,-0.52068,-0.75252,-0.10032,-0.77582,0.51156,-0.75705,1
-0.80579,-0.72723,-0.10954,-0.58025,0.1232,-0.66059,-0.72158,0.80091,0.0041002,-0.49114,-0.57984,0.30434,-0.77619,0.47229,-0.78848,1
-0.76146,-1.327,-1.2777,-0.82654,1.5656,-0.4087,-0.78783,2.2784,0.084707,-0.78585,-0.82618,-0.31413,-0.21622,1.6804,-0.71527,1
-0.27053,-1.1651,-0.40281,0.31737,-0.26803,0.24767,-0.074987,0.024329,0.11417,1.1118,0.31743,0.88957,0.13883,0.33739,-0.13778,1
-0.78985,-1.4633,-1.102,-0.47739,2.1112,-0.84282,-0.66021,-0.035299,0.099851,-0.44805,-0.47696,0.083614,-0.99593,-0.3753,-0.74426,1
-1.0604,-1.0397,-1.3878,-0.97525,0.21542,-1.0639,-1.0321,0.73394,0.17691,-0.98701,-0.9749,-0.88042,-1.0354,0.75097,-0.96258,1
-0.62217,-0.9927,-0.049474,-0.74508,1.3677,-0.0048548,-0.70653,1.1753,1.3922,-0.81773,-0.74472,0.075284,0.43443,2.5019,-0.55765,1
